"","group","subject","item","region","measure","sort","condition","skips","rawdata","nozero","ambiguity","gender"
"25083","Native",3,16,"spillover1","tt","spillover1 tt",2,0,488,488,0.5,0.5
"25085","Native",3,8,"spillover1","tt","spillover1 tt",2,0,1158,1158,0.5,0.5
"25087","Native",3,22,"spillover1","tt","spillover1 tt",4,0,1887,1887,-0.5,0.5
"25089","Native",3,17,"spillover1","tt","spillover1 tt",3,0,419,419,-0.5,-0.5
"25091","Native",3,19,"spillover1","tt","spillover1 tt",1,0,434,434,0.5,-0.5
"25093","Native",3,23,"spillover1","tt","spillover1 tt",1,0,1121,1121,0.5,-0.5
"25095","Native",3,14,"spillover1","tt","spillover1 tt",4,0,446,446,-0.5,0.5
"25097","Native",3,24,"spillover1","tt","spillover1 tt",2,0,587,587,0.5,0.5
"25099","Native",3,10,"spillover1","tt","spillover1 tt",4,0,403,403,-0.5,0.5
"25101","Native",3,12,"spillover1","tt","spillover1 tt",2,0,952,952,0.5,0.5
"25103","Native",3,6,"spillover1","tt","spillover1 tt",4,0,857,857,-0.5,0.5
"25105","Native",4,21,"spillover1","tt","spillover1 tt",4,0,338,338,-0.5,0.5
"25107","Native",4,14,"spillover1","tt","spillover1 tt",1,0,244,244,0.5,-0.5
"25109","Native",4,22,"spillover1","tt","spillover1 tt",1,0,351,351,0.5,-0.5
"25111","Native",4,11,"spillover1","tt","spillover1 tt",2,0,223,223,0.5,0.5
"25113","Native",4,15,"spillover1","tt","spillover1 tt",2,0,361,361,0.5,0.5
"25115","Native",4,23,"spillover1","tt","spillover1 tt",2,0,423,423,0.5,0.5
"25117","Native",4,18,"spillover1","tt","spillover1 tt",1,0,342,342,0.5,-0.5
"25119","Native",4,6,"spillover1","tt","spillover1 tt",1,0,248,248,0.5,-0.5
"25121","Native",4,10,"spillover1","tt","spillover1 tt",1,0,155,155,0.5,-0.5
"25123","Native",4,12,"spillover1","tt","spillover1 tt",3,0,347,347,-0.5,-0.5
"25125","Native",4,19,"spillover1","tt","spillover1 tt",2,0,240,240,0.5,0.5
"25127","Native",4,1,"spillover1","tt","spillover1 tt",4,0,173,173,-0.5,0.5
"25129","Native",4,20,"spillover1","tt","spillover1 tt",3,0,254,254,-0.5,-0.5
"25131","Native",4,16,"spillover1","tt","spillover1 tt",3,0,505,505,-0.5,-0.5
"25133","Native",4,2,"spillover1","tt","spillover1 tt",1,0,270,270,0.5,-0.5
"25135","Native",4,5,"spillover1","tt","spillover1 tt",4,0,167,167,-0.5,0.5
"25137","Native",4,17,"spillover1","tt","spillover1 tt",4,0,808,808,-0.5,0.5
"25139","Native",4,24,"spillover1","tt","spillover1 tt",3,0,392,392,-0.5,-0.5
"25141","Native",4,13,"spillover1","tt","spillover1 tt",4,0,313,313,-0.5,0.5
"25143","Native",4,8,"spillover1","tt","spillover1 tt",3,0,235,235,-0.5,-0.5
"25145","Native",4,9,"spillover1","tt","spillover1 tt",4,0,484,484,-0.5,0.5
"25147","Native",4,7,"spillover1","tt","spillover1 tt",2,0,277,277,0.5,0.5
"25149","Native",4,4,"spillover1","tt","spillover1 tt",3,0,362,362,-0.5,-0.5
"25151","Native",4,3,"spillover1","tt","spillover1 tt",2,0,158,158,0.5,0.5
"25154","Native",5,8,"spillover1","tt","spillover1 tt",4,0,1258,1258,-0.5,0.5
"25156","Native",5,4,"spillover1","tt","spillover1 tt",4,0,831,831,-0.5,0.5
"25158","Native",5,19,"spillover1","tt","spillover1 tt",3,0,342,342,-0.5,-0.5
"25160","Native",5,21,"spillover1","tt","spillover1 tt",1,0,1008,1008,0.5,-0.5
"25162","Native",5,13,"spillover1","tt","spillover1 tt",1,0,762,762,0.5,-0.5
"25164","Native",5,9,"spillover1","tt","spillover1 tt",1,0,205,205,0.5,-0.5
"25166","Native",5,3,"spillover1","tt","spillover1 tt",3,0,676,676,-0.5,-0.5
"25168","Native",5,12,"spillover1","tt","spillover1 tt",4,0,287,287,-0.5,0.5
"25170","Native",5,2,"spillover1","tt","spillover1 tt",2,0,206,206,0.5,0.5
"25172","Native",5,15,"spillover1","tt","spillover1 tt",3,0,160,160,-0.5,-0.5
"25174","Native",5,5,"spillover1","tt","spillover1 tt",1,0,333,333,0.5,-0.5
"25176","Native",5,7,"spillover1","tt","spillover1 tt",3,0,204,204,-0.5,-0.5
"25178","Native",5,22,"spillover1","tt","spillover1 tt",2,0,241,241,0.5,0.5
"25180","Native",5,17,"spillover1","tt","spillover1 tt",1,0,529,529,0.5,-0.5
"25182","Native",5,16,"spillover1","tt","spillover1 tt",4,0,172,172,-0.5,0.5
"25184","Native",5,1,"spillover1","tt","spillover1 tt",1,0,359,359,0.5,-0.5
"25186","Native",5,14,"spillover1","tt","spillover1 tt",2,0,164,164,0.5,0.5
"25188","Native",5,24,"spillover1","tt","spillover1 tt",4,0,283,283,-0.5,0.5
"25190","Native",5,23,"spillover1","tt","spillover1 tt",3,0,184,184,-0.5,-0.5
"25192","Native",5,18,"spillover1","tt","spillover1 tt",2,0,384,384,0.5,0.5
"25194","Native",5,11,"spillover1","tt","spillover1 tt",3,0,338,338,-0.5,-0.5
"25196","Native",5,20,"spillover1","tt","spillover1 tt",4,0,403,403,-0.5,0.5
"25198","Native",5,10,"spillover1","tt","spillover1 tt",2,0,180,180,0.5,0.5
"25200","Native",5,6,"spillover1","tt","spillover1 tt",2,0,381,381,0.5,0.5
"25201","Native",6,12,"spillover1","tt","spillover1 tt",1,0,133,133,0.5,-0.5
"25203","Native",6,14,"spillover1","tt","spillover1 tt",3,0,150,150,-0.5,-0.5
"25205","Native",6,5,"spillover1","tt","spillover1 tt",2,0,133,133,0.5,0.5
"25207","Native",6,22,"spillover1","tt","spillover1 tt",3,0,102,102,-0.5,-0.5
"25209","Native",6,15,"spillover1","tt","spillover1 tt",4,0,82,82,-0.5,0.5
"25211","Native",6,17,"spillover1","tt","spillover1 tt",2,0,657,657,0.5,0.5
"25213","Native",6,3,"spillover1","tt","spillover1 tt",4,0,110,110,-0.5,0.5
"25215","Native",6,2,"spillover1","tt","spillover1 tt",3,0,251,251,-0.5,-0.5
"25217","Native",6,9,"spillover1","tt","spillover1 tt",2,0,146,146,0.5,0.5
"25219","Native",6,8,"spillover1","tt","spillover1 tt",1,0,482,482,0.5,-0.5
"25221","Native",6,24,"spillover1","tt","spillover1 tt",1,0,441,441,0.5,-0.5
"25223","Native",6,11,"spillover1","tt","spillover1 tt",4,0,454,454,-0.5,0.5
"25225","Native",6,16,"spillover1","tt","spillover1 tt",1,0,147,147,0.5,-0.5
"25227","Native",6,21,"spillover1","tt","spillover1 tt",2,0,193,193,0.5,0.5
"25229","Native",6,13,"spillover1","tt","spillover1 tt",2,0,343,343,0.5,0.5
"25231","Native",6,7,"spillover1","tt","spillover1 tt",4,0,360,360,-0.5,0.5
"25233","Native",6,19,"spillover1","tt","spillover1 tt",4,0,398,398,-0.5,0.5
"25235","Native",6,23,"spillover1","tt","spillover1 tt",4,0,180,180,-0.5,0.5
"25237","Native",6,1,"spillover1","tt","spillover1 tt",2,0,287,287,0.5,0.5
"25239","Native",6,6,"spillover1","tt","spillover1 tt",3,0,144,144,-0.5,-0.5
"25241","Native",6,4,"spillover1","tt","spillover1 tt",1,0,143,143,0.5,-0.5
"25243","Native",6,20,"spillover1","tt","spillover1 tt",1,0,330,330,0.5,-0.5
"25245","Native",6,10,"spillover1","tt","spillover1 tt",3,1,0,NA,-0.5,-0.5
"25247","Native",6,18,"spillover1","tt","spillover1 tt",3,0,227,227,-0.5,-0.5
"25250","Native",7,16,"spillover1","tt","spillover1 tt",2,0,524,524,0.5,0.5
"25252","Native",7,14,"spillover1","tt","spillover1 tt",4,0,1328,1328,-0.5,0.5
"25254","Native",7,12,"spillover1","tt","spillover1 tt",2,0,1684,1684,0.5,0.5
"25256","Native",7,20,"spillover1","tt","spillover1 tt",2,0,2369,2369,0.5,0.5
"25258","Native",7,10,"spillover1","tt","spillover1 tt",4,0,158,158,-0.5,0.5
"25260","Native",7,24,"spillover1","tt","spillover1 tt",2,0,992,992,0.5,0.5
"25262","Native",7,22,"spillover1","tt","spillover1 tt",4,0,1281,1281,-0.5,0.5
"25264","Native",7,23,"spillover1","tt","spillover1 tt",1,0,616,616,0.5,-0.5
"25266","Native",7,18,"spillover1","tt","spillover1 tt",4,0,885,885,-0.5,0.5
"25268","Native",7,8,"spillover1","tt","spillover1 tt",2,0,2341,2341,0.5,0.5
"25270","Native",7,1,"spillover1","tt","spillover1 tt",3,0,626,626,-0.5,-0.5
"25272","Native",7,2,"spillover1","tt","spillover1 tt",4,0,1777,1777,-0.5,0.5
"25274","Native",7,13,"spillover1","tt","spillover1 tt",3,0,159,159,-0.5,-0.5
"25276","Native",7,11,"spillover1","tt","spillover1 tt",1,0,885,885,0.5,-0.5
"25278","Native",7,5,"spillover1","tt","spillover1 tt",3,0,324,324,-0.5,-0.5
"25280","Native",7,3,"spillover1","tt","spillover1 tt",1,0,1190,1190,0.5,-0.5
"25282","Native",7,19,"spillover1","tt","spillover1 tt",1,0,410,410,0.5,-0.5
"25284","Native",7,7,"spillover1","tt","spillover1 tt",1,0,578,578,0.5,-0.5
"25286","Native",7,15,"spillover1","tt","spillover1 tt",1,0,153,153,0.5,-0.5
"25288","Native",7,4,"spillover1","tt","spillover1 tt",2,0,631,631,0.5,0.5
"25290","Native",7,17,"spillover1","tt","spillover1 tt",3,0,313,313,-0.5,-0.5
"25292","Native",7,21,"spillover1","tt","spillover1 tt",3,0,205,205,-0.5,-0.5
"25294","Native",7,6,"spillover1","tt","spillover1 tt",4,0,160,160,-0.5,0.5
"25296","Native",7,9,"spillover1","tt","spillover1 tt",3,0,302,302,-0.5,-0.5
"25297","Native",8,11,"spillover1","tt","spillover1 tt",2,0,242,242,0.5,0.5
"25299","Native",8,17,"spillover1","tt","spillover1 tt",4,0,221,221,-0.5,0.5
"25301","Native",8,2,"spillover1","tt","spillover1 tt",1,0,321,321,0.5,-0.5
"25303","Native",8,18,"spillover1","tt","spillover1 tt",1,0,246,246,0.5,-0.5
"25305","Native",8,14,"spillover1","tt","spillover1 tt",1,0,245,245,0.5,-0.5
"25307","Native",8,4,"spillover1","tt","spillover1 tt",3,0,692,692,-0.5,-0.5
"25309","Native",8,23,"spillover1","tt","spillover1 tt",2,0,387,387,0.5,0.5
"25311","Native",8,21,"spillover1","tt","spillover1 tt",4,0,312,312,-0.5,0.5
"25313","Native",8,5,"spillover1","tt","spillover1 tt",4,0,509,509,-0.5,0.5
"25315","Native",8,1,"spillover1","tt","spillover1 tt",4,0,206,206,-0.5,0.5
"25317","Native",8,6,"spillover1","tt","spillover1 tt",1,0,590,590,0.5,-0.5
"25319","Native",8,7,"spillover1","tt","spillover1 tt",2,0,660,660,0.5,0.5
"25321","Native",8,12,"spillover1","tt","spillover1 tt",3,0,233,233,-0.5,-0.5
"25323","Native",8,10,"spillover1","tt","spillover1 tt",1,0,285,285,0.5,-0.5
"25325","Native",8,16,"spillover1","tt","spillover1 tt",3,0,214,214,-0.5,-0.5
